nombre,descripcion,precio,stock,categoria
Teclado v1,Lote tecnologico 1,"94,81",116,Software
SSD v2,Lote tecnologico 2,"530,14",62,Licencias
Monitor v3,Lote tecnologico 3,"971,24",194,Servicios
RAM v4,Lote tecnologico 4,"309,65",41,Servicios
SSD v5,Lote tecnologico 5,"1408,87",72,Software
Teclado v6,Lote tecnologico 6,"944,45",154,Licencias
Mouse v7,Lote tecnologico 7,"141,96",158,Licencias
Laptop v8,Lote tecnologico 8,"1166,77",93,Servicios
Laptop v9,Lote tecnologico 9,"592,68",33,Licencias
Laptop v10,Lote tecnologico 10,"947,94",141,Servicios
SSD v11,Lote tecnologico 11,"354,9",84,Hardware
Teclado v12,Lote tecnologico 12,"1360,04",146,Servicios
Monitor v13,Lote tecnologico 13,"337,03",26,Servicios
Teclado v14,Lote tecnologico 14,"519,81",87,Licencias
Laptop v15,Lote tecnologico 15,"839,44",39,Hardware
Mouse v16,Lote tecnologico 16,"1040,63",144,Servicios
RAM v17,Lote tecnologico 17,"1120,71",115,Hardware
RAM v18,Lote tecnologico 18,"535,69",5,Software
SSD v19,Lote tecnologico 19,"77,07",157,Licencias
Mouse v20,Lote tecnologico 20,"541,63",155,Hardware
SSD v21,Lote tecnologico 21,"724,63",92,Licencias
RAM v22,Lote tecnologico 22,"1470,74",90,Hardware
Laptop v23,Lote tecnologico 23,"464,32",20,Servicios
Laptop v24,Lote tecnologico 24,"360,24",31,Servicios
Mouse v25,Lote tecnologico 25,"1280,06",157,Hardware
Laptop v26,Lote tecnologico 26,"599,11",59,Hardware
RAM v27,Lote tecnologico 27,"457,09",103,Hardware
Monitor v28,Lote tecnologico 28,"816,11",187,Hardware
SSD v29,Lote tecnologico 29,"1136,2",120,Hardware
RAM v30,Lote tecnologico 30,"711,25",112,Licencias
Laptop v31,Lote tecnologico 31,"1239,7",54,Servicios
RAM v32,Lote tecnologico 32,"1040,33",69,Hardware
Monitor v33,Lote tecnologico 33,"1044,84",9,Servicios
Monitor v34,Lote tecnologico 34,"456,96",49,Servicios
SSD v35,Lote tecnologico 35,"1212,39",115,Servicios
Laptop v36,Lote tecnologico 36,"829,02",58,Hardware
RAM v37,Lote tecnologico 37,"224,56",162,Servicios
Monitor v38,Lote tecnologico 38,"1477,22",121,Hardware
Laptop v39,Lote tecnologico 39,"1160,99",169,Servicios
RAM v40,Lote tecnologico 40,"1349,23",167,Software
Monitor v41,Lote tecnologico 41,"128,14",61,Software
Monitor v42,Lote tecnologico 42,"492,69",198,Software
SSD v43,Lote tecnologico 43,"1429,64",151,Hardware
Mouse v44,Lote tecnologico 44,"628,12",142,Hardware
RAM v45,Lote tecnologico 45,"1103,63",32,Servicios
Monitor v46,Lote tecnologico 46,"583,03",83,Software
Laptop v47,Lote tecnologico 47,"1285,52",185,Software
RAM v48,Lote tecnologico 48,"258,65",48,Licencias
Mouse v49,Lote tecnologico 49,"767,15",165,Hardware
SSD v50,Lote tecnologico 50,"604,35",121,Licencias
Monitor v51,Lote tecnologico 51,"952,76",184,Hardware
Monitor v52,Lote tecnologico 52,"226,57",31,Servicios
Mouse v53,Lote tecnologico 53,"1251,27",107,Servicios
Mouse v54,Lote tecnologico 54,"838,62",49,Hardware
RAM v55,Lote tecnologico 55,1063,37,Licencias
Mouse v56,Lote tecnologico 56,"461,8",84,Hardware
RAM v57,Lote tecnologico 57,"836,13",81,Hardware
SSD v58,Lote tecnologico 58,"464,29",43,Servicios
Monitor v59,Lote tecnologico 59,"129,2",67,Hardware
Monitor v60,Lote tecnologico 60,"1452,53",179,Servicios
RAM v61,Lote tecnologico 61,"773,4",83,Hardware
Mouse v62,Lote tecnologico 62,"1303,44",67,Licencias
SSD v63,Lote tecnologico 63,"1275,04",67,Software
RAM v64,Lote tecnologico 64,"675,93",26,Licencias
Laptop v65,Lote tecnologico 65,"1246,33",79,Software
Teclado v66,Lote tecnologico 66,"1353,47",169,Hardware
Monitor v67,Lote tecnologico 67,"690,19",66,Hardware
SSD v68,Lote tecnologico 68,"646,05",88,Servicios
RAM v69,Lote tecnologico 69,"141,59",86,Software
Mouse v70,Lote tecnologico 70,"261,78",186,Hardware
Teclado v71,Lote tecnologico 71,"1258,89",74,Servicios
Laptop v72,Lote tecnologico 72,"1381,12",84,Servicios
Monitor v73,Lote tecnologico 73,"1080,1",35,Servicios
Monitor v74,Lote tecnologico 74,"956,93",151,Software
Laptop v75,Lote tecnologico 75,"1241,59",55,Software
Monitor v76,Lote tecnologico 76,"58,13",52,Hardware
Laptop v77,Lote tecnologico 77,"1302,68",132,Licencias
SSD v78,Lote tecnologico 78,"936,85",144,Hardware
SSD v79,Lote tecnologico 79,"651,15",23,Servicios
Teclado v80,Lote tecnologico 80,"809,34",179,Hardware
Laptop v81,Lote tecnologico 81,"117,12",138,Software
Mouse v82,Lote tecnologico 82,"1255,35",100,Servicios
SSD v83,Lote tecnologico 83,"72,7",33,Servicios
RAM v84,Lote tecnologico 84,"321,42",117,Licencias
Teclado v85,Lote tecnologico 85,"955,33",78,Software
Teclado v86,Lote tecnologico 86,"1235,29",51,Software
Teclado v87,Lote tecnologico 87,"798,25",69,Servicios
RAM v88,Lote tecnologico 88,"538,9",154,Licencias
Teclado v89,Lote tecnologico 89,"412,38",50,Servicios
RAM v90,Lote tecnologico 90,"1175,78",57,Hardware
Teclado v91,Lote tecnologico 91,"750,3",76,Software
Mouse v92,Lote tecnologico 92,"1051,36",126,Hardware
